DistrictId,District,BlockId,Block,ClusterId,Cluster,SchoolId,School,SchoolCategory,SchoolManagement,TotalSchoolStudent,Class1_Boys,Class1_Girls,Class1_Transgender,Class1_Total,AsonDate
2404,MAHESANA,240402,KADI,2404020003,KADI KANYA SHALA - 4,24040211701,SHIYAPURA PRIMARY SCHOOL,2,3,11,0,1,0,1,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020004,KADI KUMAR SHALA - 2,24040206602,SHREE I P PATEL AND D P PATEL,2,5,3,1,1,0,2,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020004,KADI KUMAR SHALA - 2,24040206505,SHREE KADI NAG SAH BANK PRA SCH BHAUPURA,2,5,152,83,56,0,139,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020002,DARAN,24044100534,SHREE NUTAN VIDYALAY,2,5,12,1,1,0,2,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020005,KADI KUMAR SHALA - 3,24040209914,SHREE R.K.PATEL SANSKAR ENGLISH MEDIUM SCHOOL,2,5,79,30,11,0,41,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020004,KADI KUMAR SHALA - 2,24040209910,SHREE VED INTERNATIONAL SCHOOL,2,5,1,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020007,KARANNAGAR,24040207103,SHRI A.I. PATEL PRI SCHOOL,1,5,49,2,1,0,3,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020009,MEDA ADARAJ,24040209002,SHRI B.K. PATEL PRIMARY SCHOOL,2,5,27,2,1,0,3,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020005,KADI KUMAR SHALA - 3,24040206502,SHRI KADI NAG SAH BANK PRI SCH,2,5,136,69,49,0,118,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020006,KALYANPURA,24040206804,SHRI KALYAN VIDHYALAYA PRIMARY (NON GRANTED),1,5,62,2,0,0,2,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020003,KADI KANYA SHALA - 4,24040209906,SHRI M N PATEL PRI SCHOOL,1,5,108,13,12,0,25,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020013,THOL,24040212503,SHRI THOL KEL-UTTE-MANDAL PRI,2,5,9,7,2,0,9,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020003,KADI KANYA SHALA - 4,24040205901,SHRI VIDHYAMANDIR PRI SCHOOL,2,5,16,5,6,0,11,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020003,KADI KANYA SHALA - 4,24040214407,SHRIMATI SURYABEN DILIPBHAI PATEL ADARSH PRIMARY SMART SCHOOL,2,5,91,41,29,0,70,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020004,KADI KUMAR SHALA - 2,24040206103,SMT LILABEN BALDEVBHAI PATEL ADARSH PRI SCHOOL,2,5,52,25,19,0,44,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020005,KADI KUMAR SHALA - 3,24040206503,SMT S D PATEL PRI ENGLISH SCHOOL,2,5,57,36,15,0,51,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020004,KADI KUMAR SHALA - 2,24040206101,SMT U.P. PARIKH ADARSH PRI SCH,2,5,121,56,41,0,97,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020011,NAVAPURA (NA),24040209705,SMT. D.S. PATEL PRI SCHOOL,2,5,36,5,4,0,9,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020002,DARAN,24040211801,SONVAD PRIMARY SCHOOL,1,3,5,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020005,KADI KUMAR SHALA - 3,24040211901,SUJATPURA PRIMARY SCHOOL,1,3,11,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020001,DANGARWA,24040212101,TANKIYA PRIMARY SCHOOL,2,3,22,0,1,0,1,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020013,THOL,24040212201,TARSANIA PRIMARY SCHOOL,1,3,5,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020014,VISATPURA,24040212301,THADOD PRIMARY SCHOOL,1,3,4,1,0,0,1,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020013,THOL,24040212501,THOL PAY CENTER SCHOOL,2,3,69,2,1,0,3,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020012,RAJPUR,24040212601,UMANAGAR (NA) PRIMARY SCHOOL,2,3,47,4,4,0,8,8/19/2026 12:26
